Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
160,174,12,14,146,160,45,Train/45/00045_00057.png
145,145,4,3,138,137,45,Train/45/00045_00058.png
193,201,14,14,177,184,45,Train/45/00045_00059.png
204,223,16,18,187,205,45,Train/45/00045_00060.png
144,152,11,14,128,139,45,Train/45/00045_00061.png
130,133,10,10,119,123,45,Train/45/00045_00062.png
209,218,17,18,191,199,45,Train/45/00045_00063.png
189,203,15,13,173,185,45,Train/45/00045_00064.png
148,156,11,12,132,143,45,Train/45/00045_00065.png
196,174,19,16,159,156,45,Train/45/00045_00066.png
157,160,12,12,143,148,45,Train/45/00045_00067.png
197,211,15,14,180,192,45,Train/45/00045_00068.png
232,239,19,19,210,218,45,Train/45/00045_00069.png
265,248,26,19,236,226,46,Train/46/00046_00000.png
244,249,22,8,221,236,46,Train/46/00046_00001.png
208,211,20,6,189,194,46,Train/46/00046_00002.png
156,150,15,10,142,138,46,Train/46/00046_00003.png
236,249,23,19,212,222,46,Train/46/00046_00004.png
230,217,26,17,209,197,46,Train/46/00046_00005.png
256,224,25,18,233,204,46,Train/46/00046_00006.png
256,220,29,18,236,200,46,Train/46/00046_00007.png
173,166,17,13,163,150,46,Train/46/00046_00008.png
203,189,20,15,189,172,46,Train/46/00046_00009.png
221,218,15,19,203,198,46,Train/46/00046_00010.png
201,195,17,15,188,177,46,Train/46/00046_00011.png
141,132,9,10,130,119,46,Train/46/00046_00012.png
265,251,33,19,246,228,46,Train/46/00046_00013.png
256,229,32,17,236,207,46,Train/46/00046_00014.png
181,153,21,3,167,140,46,Train/46/00046_00015.png
158,157,15,13,145,142,46,Train/46/00046_00016.png
132,131,12,11,122,118,46,Train/46/00046_00017.png
279,250,27,15,252,222,46,Train/46/00046_00018.png
225,231,20,19,204,207,46,Train/46/00046_00019.png
188,193,17,15,170,171,46,Train/46/00046_00020.png
218,217,22,17,202,196,46,Train/46/00046_00021.png
250,246,29,20,228,219,46,Train/46/00046_00022.png
283,253,35,22,257,226,46,Train/46/00046_00023.png
196,175,24,15,178,156,46,Train/46/00046_00024.png
251,257,22,18,228,224,46,Train/46/00046_00025.png
214,220,19,18,195,194,46,Train/46/00046_00026.png
177,193,15,15,162,178,46,Train/46/00046_00027.png
269,241,14,7,260,220,46,Train/46/00046_00028.png
214,227,18,8,196,225,46,Train/46/00046_00029.png
205,217,1,6,188,215,46,Train/46/00046_00030.png
230,244,19,8,210,241,46,Train/46/00046_00031.png
150,159,12,5,138,157,46,Train/46/00046_00032.png
185,185,9,5,176,179,46,Train/46/00046_00033.png
235,223,12,16,221,200,46,Train/46/00046_00034.png
237,227,13,18,221,207,46,Train/46/00046_00035.png
173,190,16,16,156,178,46,Train/46/00046_00036.png
212,204,5,16,203,187,46,Train/46/00046_00037.png
130,130,6,0,124,124,46,Train/46/00046_00038.png
154,153,16,13,146,138,46,Train/46/00046_00039.png
216,216,24,18,200,196,46,Train/46/00046_00040.png
163,163,18,13,150,149,46,Train/46/00046_00041.png
161,161,18,12,150,154,46,Train/46/00046_00042.png
168,168,19,12,156,161,46,Train/46/00046_00043.png
143,154,13,17,130,141,46,Train/46/00046_00044.png
129,141,11,11,118,131,46,Train/46/00046_00045.png
241,263,21,19,220,245,46,Train/46/00046_00046.png
149,134,7,4,143,133,46,Train/46/00046_00047.png
190,170,9,4,183,155,46,Train/46/00046_00048.png
167,150,8,4,160,137,46,Train/46/00046_00049.png
221,198,11,6,213,181,46,Train/46/00046_00050.png
216,230,17,8,197,227,46,Train/46/00046_00051.png
222,236,18,8,204,233,46,Train/46/00046_00052.png
187,168,9,5,179,152,46,Train/46/00046_00053.png
252,252,12,10,240,246,46,Train/46/00046_00054.png
260,241,24,20,228,215,46,Train/46/00046_00055.png
180,171,9,12,170,162,46,Train/46/00046_00056.png
140,134,7,10,130,122,46,Train/46/00046_00057.png
230,252,23,19,200,230,46,Train/46/00046_00058.png
262,252,6,19,251,231,46,Train/46/00046_00059.png
166,166,8,0,159,158,46,Train/46/00046_00060.png
185,183,19,16,177,166,46,Train/46/00046_00061.png
176,176,19,14,163,169,46,Train/46/00046_00062.png
247,265,23,82,224,243,46,Train/46/00046_00063.png
209,206,23,17,190,184,46,Train/46/00046_00064.png
202,201,20,15,187,182,46,Train/46/00046_00065.png
232,208,28,17,209,185,46,Train/46/00046_00066.png
212,209,24,18,193,188,46,Train/46/00046_00067.png
133,131,15,10,121,117,46,Train/46/00046_00068.png
171,160,16,12,152,146,46,Train/46/00046_00069.png
164,167,15,5,148,158,46,Train/46/00046_00070.png
236,238,23,7,214,219,46,Train/46/00046_00071.png
164,158,15,10,149,145,46,Train/46/00046_00072.png
128,135,12,10,115,120,46,Train/46/00046_00073.png
196,185,22,15,178,168,46,Train/46/00046_00074.png
290,255,29,19,265,232,46,Train/46/00046_00075.png
252,216,24,18,227,197,46,Train/46/00046_00076.png
172,165,17,13,160,150,46,Train/46/00046_00077.png
170,158,18,12,157,143,46,Train/46/00046_00078.png
152,150,11,13,139,136,46,Train/46/00046_00079.png
244,236,24,19,228,214,46,Train/46/00046_00080.png
235,220,17,17,219,199,46,Train/46/00046_00081.png
221,209,29,16,207,190,46,Train/46/00046_00082.png
196,176,25,7,179,159,46,Train/46/00046_00083.png
279,235,36,16,260,221,46,Train/46/00046_00084.png
148,147,14,13,136,133,46,Train/46/00046_00085.png
135,135,14,10,125,122,46,Train/46/00046_00086.png
201,180,24,14,182,161,46,Train/46/00046_00087.png
201,206,18,17,183,181,46,Train/46/00046_00088.png
136,140,12,11,124,125,46,Train/46/00046_00089.png
139,138,12,11,128,125,46,Train/46/00046_00090.png
135,133,15,11,122,118,46,Train/46/00046_00091.png
215,192,26,16,195,172,46,Train/46/00046_00092.png
167,150,19,11,152,133,46,Train/46/00046_00093.png
223,229,20,18,203,207,46,Train/46/00046_00094.png
241,246,22,19,219,220,46,Train/46/00046_00095.png
170,186,14,14,156,173,46,Train/46/00046_00096.png
244,218,12,8,234,200,46,Train/46/00046_00097.png
232,245,9,8,213,242,46,Train/46/00046_00098.png
136,144,11,5,125,142,46,Train/46/00046_00099.png
136,144,10,4,125,142,46,Train/46/00046_00100.png
181,192,14,7,166,187,46,Train/46/00046_00101.png
140,140,6,3,134,137,46,Train/46/00046_00102.png
254,242,14,20,240,221,46,Train/46/00046_00103.png
159,153,9,11,147,139,46,Train/46/00046_00104.png
152,167,13,16,139,157,46,Train/46/00046_00105.png
140,135,3,10,134,123,46,Train/46/00046_00106.png
210,210,11,0,200,200,46,Train/46/00046_00107.png
144,143,15,12,136,129,46,Train/46/00046_00108.png
230,230,26,19,212,206,46,Train/46/00046_00109.png
235,235,27,18,220,224,46,Train/46/00046_00110.png
211,211,23,18,195,189,46,Train/46/00046_00111.png
152,152,17,12,141,140,46,Train/46/00046_00112.png
248,266,24,42,225,243,46,Train/46/00046_00113.png
239,261,20,22,219,237,46,Train/46/00046_00114.png
144,157,13,14,132,143,46,Train/46/00046_00115.png
272,243,15,22,260,222,46,Train/46/00046_00116.png
148,133,7,3,143,123,46,Train/46/00046_00117.png
242,217,12,6,232,197,46,Train/46/00046_00118.png
169,151,8,4,162,137,46,Train/46/00046_00119.png
173,183,2,5,159,181,46,Train/46/00046_00120.png
145,154,11,5,133,152,46,Train/46/00046_00121.png
201,181,10,5,193,179,46,Train/46/00046_00122.png
249,249,12,8,237,243,46,Train/46/00046_00123.png
148,138,14,11,129,122,46,Train/46/00046_00124.png
159,152,8,12,149,139,46,Train/46/00046_00125.png
175,168,9,13,162,153,46,Train/46/00046_00126.png
232,254,21,23,210,234,46,Train/46/00046_00127.png
202,195,3,15,194,179,46,Train/46/00046_00128.png
234,234,11,0,224,223,46,Train/46/00046_00129.png
146,145,15,13,140,131,46,Train/46/00046_00130.png
165,165,18,13,153,150,46,Train/46/00046_00131.png
232,250,22,28,212,230,46,Train/46/00046_00132.png
173,171,22,14,160,152,46,Train/46/00046_00133.png
132,132,13,10,122,119,46,Train/46/00046_00134.png
211,189,25,16,191,168,46,Train/46/00046_00135.png
182,180,20,15,166,160,46,Train/46/00046_00136.png
233,229,25,19,211,206,46,Train/46/00046_00137.png
227,219,16,16,201,189,47,Train/47/00047_00000.png
222,214,26,16,192,186,47,Train/47/00047_00001.png
137,128,15,10,122,115,47,Train/47/00047_00002.png
220,233,20,17,202,212,47,Train/47/00047_00003.png
154,151,14,12,139,137,47,Train/47/00047_00004.png
228,209,37,16,204,184,47,Train/47/00047_00005.png
236,236,29,21,217,210,47,Train/47/00047_00006.png
189,164,24,13,166,149,47,Train/47/00047_00007.png
268,250,36,21,234,224,47,Train/47/00047_00008.png
198,190,20,15,179,173,47,Train/47/00047_00009.png
173,166,16,13,156,152,47,Train/47/00047_00010.png
250,230,26,18,231,209,47,Train/47/00047_00011.png
222,223,20,15,197,201,47,Train/47/00047_00012.png
223,205,23,16,204,184,47,Train/47/00047_00013.png
188,198,17,11,176,179,47,Train/47/00047_00014.png
211,223,19,16,194,203,47,Train/47/00047_00015.png
217,230,19,15,198,209,47,Train/47/00047_00016.png
242,226,28,19,220,203,47,Train/47/00047_00017.png
264,245,36,20,240,221,47,Train/47/00047_00018.png
172,173,16,20,155,153,47,Train/47/00047_00019.png
182,183,17,26,164,162,47,Train/47/00047_00020.png
199,191,17,15,180,174,47,Train/47/00047_00021.png
226,217,20,17,204,198,47,Train/47/00047_00022.png
179,175,17,14,162,159,47,Train/47/00047_00023.png
173,159,19,12,158,141,47,Train/47/00047_00024.png
176,162,19,12,162,143,47,Train/47/00047_00025.png
146,155,13,11,134,141,47,Train/47/00047_00026.png
240,254,21,19,220,231,47,Train/47/00047_00027.png
172,182,16,13,158,165,47,Train/47/00047_00028.png
236,250,21,18,217,227,47,Train/47/00047_00029.png
235,249,21,17,216,227,47,Train/47/00047_00030.png
131,139,12,10,120,126,47,Train/47/00047_00031.png
197,184,20,15,181,163,47,Train/47/00047_00032.png
155,156,15,19,140,138,47,Train/47/00047_00033.png
253,255,24,34,228,226,47,Train/47/00047_00034.png
200,196,19,16,181,179,47,Train/47/00047_00035.png
189,165,20,13,171,149,47,Train/47/00047_00036.png
192,167,30,13,171,151,47,Train/47/00047_00037.png
241,226,34,18,213,202,47,Train/47/00047_00038.png
218,214,20,17,198,195,47,Train/47/00047_00039.png
141,141,18,14,127,125,47,Train/47/00047_00040.png
244,224,21,17,223,202,47,Train/47/00047_00041.png
135,135,15,14,122,120,47,Train/47/00047_00042.png
166,166,18,23,151,147,47,Train/47/00047_00043.png
252,232,23,18,232,212,47,Train/47/00047_00044.png
269,248,22,19,248,220,47,Train/47/00047_00045.png
158,148,18,13,145,132,47,Train/47/00047_00046.png
169,163,15,12,148,145,47,Train/47/00047_00047.png
262,253,22,19,231,228,47,Train/47/00047_00048.png
177,171,14,13,156,154,47,Train/47/00047_00049.png
257,240,42,19,223,214,47,Train/47/00047_00050.png
245,260,22,19,225,236,47,Train/47/00047_00051.png
251,247,24,20,227,225,47,Train/47/00047_00052.png
168,155,19,12,151,139,47,Train/47/00047_00053.png
129,129,16,14,118,114,47,Train/47/00047_00054.png
271,236,59,19,242,215,47,Train/47/00047_00055.png
183,171,24,14,162,154,47,Train/47/00047_00056.png
250,240,23,19,226,219,47,Train/47/00047_00057.png
139,134,13,10,126,122,47,Train/47/00047_00058.png
230,212,23,17,213,193,47,Train/47/00047_00059.png
134,135,12,9,119,121,47,Train/47/00047_00060.png
248,228,28,17,229,207,47,Train/47/00047_00061.png
223,237,20,17,204,216,47,Train/47/00047_00062.png
241,256,22,18,221,233,47,Train/47/00047_00063.png
203,215,18,15,186,195,47,Train/47/00047_00064.png
162,151,23,12,147,136,47,Train/47/00047_00065.png
266,248,33,20,244,223,47,Train/47/00047_00066.png
238,240,26,32,216,213,47,Train/47/00047_00067.png
221,222,21,40,198,193,47,Train/47/00047_00068.png
139,134,13,11,125,122,47,Train/47/00047_00069.png
175,168,16,13,158,153,47,Train/47/00047_00070.png
142,139,13,11,128,126,47,Train/47/00047_00071.png
239,220,23,17,219,200,47,Train/47/00047_00072.png
206,190,18,15,190,171,47,Train/47/00047_00073.png
169,179,15,13,155,162,47,Train/47/00047_00074.png
163,172,14,12,151,156,47,Train/47/00047_00075.png
182,192,15,13,166,174,47,Train/47/00047_00076.png
244,259,22,18,223,236,47,Train/47/00047_00077.png
211,223,19,14,193,203,47,Train/47/00047_00078.png
160,170,14,11,146,155,47,Train/47/00047_00079.png
248,231,28,19,226,208,47,Train/47/00047_00080.png
183,184,20,21,165,163,47,Train/47/00047_00081.png
216,217,25,31,196,193,47,Train/47/00047_00082.png
258,253,22,20,234,231,47,Train/47/00047_00083.png
182,159,22,13,165,144,47,Train/47/00047_00084.png
276,240,50,19,238,221,47,Train/47/00047_00085.png
276,240,0,64,16,224,47,Train/47/00047_00085.png
152,142,18,11,133,127,47,Train/47/00047_00086.png
136,133,12,11,122,121,47,Train/47/00047_00087.png
237,238,26,20,215,213,47,Train/47/00047_00088.png
242,222,23,18,223,201,47,Train/47/00047_00089.png
229,230,22,20,207,206,47,Train/47/00047_00090.png
230,231,23,24,208,208,47,Train/47/00047_00091.png
191,176,19,14,177,160,47,Train/47/00047_00092.png
214,197,20,15,196,180,47,Train/47/00047_00093.png
148,138,18,11,135,124,47,Train/47/00047_00094.png
195,188,16,14,171,167,47,Train/47/00047_00095.png
259,233,24,11,237,216,48,Train/48/00048_00000.png
153,140,14,11,142,128,48,Train/48/00048_00001.png
234,222,20,10,220,201,48,Train/48/00048_00002.png
164,151,23,12,146,137,48,Train/48/00048_00003.png
261,249,21,20,234,222,48,Train/48/00048_00004.png
194,161,18,12,180,149,48,Train/48/00048_00005.png
205,187,17,15,184,167,48,Train/48/00048_00006.png
235,216,23,18,207,193,48,Train/48/00048_00007.png
275,244,30,19,254,222,48,Train/48/00048_00008.png
189,162,14,12,171,148,48,Train/48/00048_00009.png
198,189,17,14,187,172,48,Train/48/00048_00010.png
215,194,28,15,204,178,48,Train/48/00048_00011.png
218,199,19,14,200,181,48,Train/48/00048_00012.png
180,163,12,12,166,148,48,Train/48/00048_00013.png
261,247,22,14,257,224,48,Train/48/00048_00014.png
235,214,19,15,213,195,48,Train/48/00048_00015.png
159,146,16,11,143,132,48,Train/48/00048_00016.png
251,258,21,18,227,234,48,Train/48/00048_00017.png
205,184,19,14,185,166,48,Train/48/00048_00018.png
261,239,24,19,243,219,48,Train/48/00048_00019.png
226,214,20,10,211,195,48,Train/48/00048_00020.png
144,132,20,10,129,120,48,Train/48/00048_00021.png
242,231,23,18,215,209,48,Train/48/00048_00022.png
168,140,16,11,155,129,48,Train/48/00048_00023.png
262,239,19,19,235,214,48,Train/48/00048_00024.png
182,168,18,14,161,150,48,Train/48/00048_00025.png
219,195,25,15,203,177,48,Train/48/00048_00026.png
278,238,25,18,252,217,48,Train/48/00048_00027.png
145,138,13,10,137,125,48,Train/48/00048_00028.png
202,183,24,14,192,168,48,Train/48/00048_00029.png
144,131,13,9,132,119,48,Train/48/00048_00030.png
257,232,20,18,242,211,48,Train/48/00048_00031.png
142,135,13,6,139,128,48,Train/48/00048_00032.png
189,172,15,12,171,156,48,Train/48/00048_00033.png
197,180,23,14,179,161,48,Train/48/00048_00034.png
220,226,19,16,199,210,48,Train/48/00048_00035.png
229,205,22,12,206,184,49,Train/49/00049_00000.png
245,215,12,17,234,196,49,Train/49/00049_00001.png
254,241,7,12,236,218,49,Train/49/00049_00002.png
266,240,24,17,242,217,49,Train/49/00049_00003.png
224,207,22,15,210,188,49,Train/49/00049_00004.png
161,147,13,10,149,132,49,Train/49/00049_00005.png
134,143,12,8,120,142,49,Train/49/00049_00006.png
149,149,12,15,132,132,49,Train/49/00049_00007.png
234,207,31,18,218,189,49,Train/49/00049_00008.png
192,192,18,16,175,175,49,Train/49/00049_00009.png
235,205,23,16,196,187,49,Train/49/00049_00010.png
225,220,30,17,209,200,49,Train/49/00049_00011.png
253,232,31,17,229,212,49,Train/49/00049_00012.png
234,221,22,17,205,199,49,Train/49/00049_00013.png
151,151,11,7,139,138,49,Train/49/00049_00014.png
183,170,9,12,171,154,49,Train/49/00049_00015.png
152,146,15,11,141,133,49,Train/49/00049_00016.png
272,255,25,20,256,234,49,Train/49/00049_00017.png
154,144,11,11,144,131,49,Train/49/00049_00018.png
183,178,9,12,174,163,49,Train/49/00049_00019.png
172,161,14,12,163,146,49,Train/49/00049_00020.png
180,177,10,13,166,161,49,Train/49/00049_00021.png
243,220,19,18,219,200,49,Train/49/00049_00022.png
271,248,22,18,256,227,49,Train/49/00049_00023.png
142,128,12,9,128,115,49,Train/49/00049_00024.png
159,148,14,12,147,134,49,Train/49/00049_00025.png
199,171,16,12,187,156,49,Train/49/00049_00026.png
147,140,13,11,137,127,49,Train/49/00049_00027.png
186,177,13,14,175,162,49,Train/49/00049_00028.png
151,136,14,7,143,126,49,Train/49/00049_00029.png
223,202,15,15,209,183,49,Train/49/00049_00030.png
151,132,13,10,143,119,49,Train/49/00049_00031.png
272,231,22,5,249,218,49,Train/49/00049_00032.png
186,170,16,12,175,157,49,Train/49/00049_00033.png
210,186,19,14,195,169,49,Train/49/00049_00034.png
236,220,23,16,221,198,49,Train/49/00049_00035.png
168,142,14,0,156,128,49,Train/49/00049_00036.png
182,164,14,12,168,151,49,Train/49/00049_00037.png
176,159,10,12,167,145,49,Train/49/00049_00038.png
194,201,17,4,177,179,49,Train/49/00049_00039.png
212,196,25,14,197,178,49,Train/49/00049_00040.png
212,196,0,14,22,175,49,Train/49/00049_00040.png
198,173,12,14,184,158,49,Train/49/00049_00041.png
278,237,23,19,257,218,49,Train/49/00049_00042.png
150,151,13,9,139,137,49,Train/49/00049_00043.png
156,143,13,11,147,130,49,Train/49/00049_00044.png
243,215,32,16,229,195,49,Train/49/00049_00045.png
243,215,0,17,26,198,49,Train/49/00049_00045.png
178,178,11,5,171,169,49,Train/49/00049_00046.png
241,226,16,17,229,206,49,Train/49/00049_00047.png
257,227,21,17,241,206,49,Train/49/00049_00048.png
225,209,13,16,213,191,49,Train/49/00049_00049.png
268,244,27,16,243,220,49,Train/49/00049_00050.png
199,184,18,13,186,169,49,Train/49/00049_00051.png
181,160,27,12,159,144,49,Train/49/00049_00052.png
